"name","uid"
"Acidithrix","1609233"
"Acidobacteria","57723"
"Acidobacteriaceae","204434"
"Acidobacteriales","204433"
"Acidobacteriia","204432"
"Acidobacteriota","57723"
"Acidobacterium","33973"
"Acidocella","50709"
"Acidomonas","34000"
"Acidomyces","245561"
"Acidothermaceae","85032"
"Acidothermales","1643683"
"Acidothermus","28048"
"Acidovorax","12916"
"Aciduliprofundum","379546"
"Acinetobacter","469"
"Acramoeba","633158"
"Acrasis","43694"
"Acremonium","159075"
"Acrocarpospora","90974"
"Acrodontium","150364"
"Acrophialophora","389487"
"Actibacterium","1433986"
"Actinacidiphila","2995702"
"Actinidia","3624"
"Actinoallomurus","667113"
"Actinoalloteichus","65496"
"Actinobacillus","713"
"Actinobacteria","201174"
"Actinobaculum","76833"
"Actinocatenispora","390988"
"Actinocorallia","58108"
"Actinocrinis","1920515"
"Actinocrispum","1891915"
"Actinokineospora","39845"
"Actinomadura","1988"
"Actinomarinicola","2789775"
"Actinomortierella","2779867"
"Actinomucor","64644"
"Actinomyces","1654"
"Actinomycetaceae","2049"
"Actinomycetales","2037"
"Actinomycetes","1760"
"Actinomycetospora","402649"
"Actinomycetota","201174"
"Actinophytocola","695999"
"Actinoplanes","1865"
"Actinopolymorpha","117156"
"Actinopolymorphaceae","2805400"
"Actinopolyspora","1849"
"Actinorhabdospora","1849525"
"Actinospica","414715"
"Actinosynnema","40566"
"Actinotalea","458839"
"Actinotignum","1653174"
"Actomonas","3138693"
"Acuticoccus","1904377"
"Acytostelium","133407"
"Adelphella","2219169"
"Adhaeretor","2862451"
"Adhaeribacter","299566"
"Adlercreutzia","447020"
"Aduncisulcus","2918882"
"Advenella","290425"
"Aecidium","73163"
"Aedes",NA
"Aedoeadaptatus","2981628"
"Aeoliella","2795781"
"Aequoribacter","2847769"
"Aequorivita","153265"
"Aeribacillus","1055323"
"Aeriscardovia","240233"
"Aerococcaceae","186827"
"Aerococcus","1375"
"Aerolutibacter","3382701"
"Aeromicrobium","2040"
"Aeromonadales","135624"
"Aeromonas","642"
"Aerophototrophica","2811387"
"Aeropyrum","56635"
"Aerosakkonema","1246629"
"Aerosticca","2707020"
"Aestuariibacter","249523"
"Aestuariibaculum","1386924"
"Aestuariimicrobium","396388"
"Aestuariivirga","2650923"
"Aestuariivirgaceae","2650922"
"Aestuarium","2820509"
"Aetherobacter","888829"
"Aetokthonos","1550243"
"Affinetrina","29181"
"Afifella","643217"
"Afifellaceae","2829802"
"Afipia","1033"
"African",NA
"Afroboletus","676138"
"Agaribacter","1494561"
"Agaricaceae","5339"
"Agaricicola","1364858"
"Agaricus","5340"
"Agarilytica","2036021"
"Agarivorans","261825"
"Agathobacter","1766253"
"Agathobaculum","2048137"
"Aggregatibacter","416916"
"Aggregatilinea","2806306"
"Aggregatilineaceae","2806305"
"Aggregatilineales","2806304"
"Aggregicoccus","1470623"
"Agitococcus","186829"
"Agreia","110934"
"Agrilactobacillus","2767875"
"Agrilutibacter","3382696"
"Agriterribacter","2821507"
"Agroathelia","3072477"
"Agrobacterium","357"
"Agrococcus","46352"
"Agrocybe","5399"
"Agromyces","33877"
"Ahniella","2233801"
"Ahrensia","152180"
"Ahus",NA
"Aidingimonas","1395977"
"Ailanthus","23809"
"Aiolos",NA
"Akanthomyces","150366"
"Akkermansia","239934"
"Akkermansiaceae","1647988"
"Albatrellopsis","2821075"
"Albatrellus","68750"
"Albibacterium","2762352"
"Albidovulum","205889"
"Albifimbria","1859696"
"Albugo","65356"
"Alcaligenaceae","506"
"Alcaligenes","507"
"Alcanivoracaceae","224372"
"Alcanivorax","59753"
"Aldersonia","2767320"
"Alectoria","111638"
"Algibacter","261827"
"Algicola","296014"
"Algimonas","1246884"
"Algiphilus","1266053"
"Algisphaera","1472699"
"Algoriella","1762932"
"Algoriphagus","246875"
"Aliarcobacter","2321111"
"Alicycliphilus","201096"
"Alicyclobacillaceae","186823"
"Alicyclobacillus","29330"
"Alienimonas","2714737"
"Aliicoccus","1647178"
"Aliidiomarina","1249554"
"Aliidongia","1914229"
"Aliifodinibius","1397106"
"Aliiglaciecola","1406885"
"Aliihoeflea","610116"
"Aliikangiella","1920241"
"Aliirhizobium","3070965"
"Aliiroseovarius","1658781"
"Aliiruegeria","2854181"
"Aliivibrio","511678"
"Alishewanella","111142"
"Alistipes","239759"
"Alkalibacterium","99906"
"Alkalicoccobacillus","2893059"
"Alkalidesulfovibrio","2950009"
"Alkalihalobacillus","2675234"
"Alkalihalobacterium","2893050"
"Alkalihalophilus","2893060"
"Alkalilimnicola","133193"
"Alkalinema","1620700"
"Alkaliphilus","114627"
"Alkalisalibacterium","3037992"
"Alkalispirochaeta","2024958"
"Alkalitalea","1193324"
"Alkalithermobacter","3120163"
"Alkanindiges","222991"
"Allgaiera","2823221"
"Allitabrizicola",NA
"Allium","4678"
"Alloacidobacterium","2951993"
"Alloactinosynnema","674734"
"Alloalcanivorax","3020832"
"Allobranchiibius","2040262"
"Allocatelliglobosispora","1400054"
"Allocatenococcus","94139"
"Allochromatium","85072"
"Allocoleopsis","2886347"
"Allofournierella","1940255"
"Allofrancisella","1869285"
"Allogromia","39593"
"Alloiococcus","1651"
"Allokutzneria","1137960"
"Allomeiothermus","2935559"
"Allomuricauda","111500"
"Allomyces","28581"
"Allonocardiopsis","1647181"
"Allopontixanthobacter","2830882"
"Alloprevotella","1283313"
"Allopusillimonas","2987604"
"Allorhizobium","78526"
"Allorhizocola","2710870"
"Allorhodopirellula","3028535"
"Allosaccharopolyspora","2893576"
"Alloscardovia","419014"
"Allosediminivita","2823226"
"Allosphingosinicella","2823232"
"Allostreptomyces","1914443"
"Alloteropsis","416176"
"Alloyangia","2919626"
"Alnicola","91662"
"Alphachrysovirus","2560087"
"Alphaproteobacteria","28211"
"Alpinimonas","1132766"
"Alsobacter","1502180"
"Alteraurantiacibacter","2800678"
"Altererythrobacter","361177"
"Alteribacillus","1433300"
"Alteripontixanthobacter","2788933"
"Alternaria","5598"
"Alteromonadaceae","72275"
"Alteromonadales","135622"
"Alteromonas","226"
"Alwisia","1478227"
"Alyxoria","1010672"
"Amalga-like",NA
"Amanita","41955"
"Amantichitinum","1433987"
"Amaricoccus","56999"
"Amaurochaete","318075"
"Amazonocrinis","2840440"
"Ambispora","453566"
"Ambomucor","310378"
"Ambrosia","4211"
"Ambrosiella","44324"
"Ambrosiozyma","36917"
"Amedibacillus","2749846"
"Amedibacterium","2749267"
"Amesia","1934349"
"Ameyamaea","442968"
"Aminipila","2060094"
"Aminivibrio","1427172"
"Aminobacter","31988"
"Aminobacterium","81466"
"Aminomonas","81411"
"Ammonia","29189"
"Ammonifex","42837"
"Ammoniphilus","66862"
"Amnibacterium","1029631"
"Amniculicola","690893"
"Amoeba","5774"
"Amoebophilaceae","1501348"
"Amorphochlora","1561962"
"Amorphotheca","5100"
"Amorphus","580880"
"Ampelomyces","50729"
"Amphibacillus","29331"
"Amphileptus","497730"
"Amphiplicatus","1519373"
"Amphitrite","73387"
"Amphritea","515417"
"Ampulloclitocybe","238084"
"Amycolatopsis","1813"
"Amygdalus","3754"
"Amylibacter","1617805"
"Amylocarpus","45427"
"Amylocystis","202699"
"Amylomyces","64616"
"Amylostereum","55339"
"Anabaena","1163"
"Anabaenopsis","110103"
"Anaerobacillus","704093"
"Anaerobranca","42447"
"Anaerobutyricum","2569097"
"Anaerococcus","165779"
"Anaerocolumna","1843210"
"Anaeroglobus","906"
"Anaerohalosphaera","2690159"
"Anaerohalosphaeraceae","2690158"
"Anaerolinea","233189"
"Anaerolineaceae","292628"
"Anaerolineae","292625"
"Anaerolineales","292629"
"Anaeromicropila","3024823"
"Anaeromyces","105135"
"Anaeromyxobacter","161492"
"Anaeromyxobacteraceae","1524215"
"Anaerophaga","177399"
"Anaeroselena","3396986"
"Anaerosolibacter","1780299"
"Anaerosporomusa","1794910"
"Anaerostipes","207244"
"Anaerotruncus","244127"
"Anaerovibrio","82373"
"Anaerovoracaceae","543314"
"Anaplasma","768"
"Anatilimnocola","2807414"
"Ancalomicrobiaceae","2172021"
"Ancylobacter","99"
"Ancylomarina","1970195"
"Anderseniella","444432"
"Anditalea","1494913"
"Andreprevotia","397275"
"Aneurinibacillus","55079"
"Angomonas","1003337"
"Angustibacter","908626"
"Anisolpidium","1663099"
"Anisomeridium","394995"
"Anncaliia","311453"
"Annulohypoxylon","326606"
"Annulusmagnus","194178"
"Anophryoides","46461"
"Anoxybacillus","150247"
"Anoxybacter","1769008"
"Anoxybacteroides","3389905"
"Anseongella","1773450"
"Antarcticirhabdus","3042730"
"Antarctobacter","74032"
"Anteholosticha","584654"
"Anthocerotibacter","2857076"
"Anthostomella","131338"
"Anthracocystis","1392992"
"Antiquaquibacter","3108736"
"Antonospora","67677"
"Antricoccus","1920251"
"Antrihabitans","2799491"
"Antrodiella","81041"
"Aphanizomenon","1175"
"Aphanocapsa","1119"
"Aphanocladium","12941"
"Aphanomyces","100860"
"Aphanothece","1121"
"Aphid",NA
"Apibacter","1778601"
"Apilactobacillus","2767877"
"Apioperdon","90678"
"Apiosordaria","192815"
"Apiotrichum","105983"
"Apis","7459"
"Aplosporella","462253"
"Apodachlya","92980"
"Apodospora","516988"
"Apophysomyces","90268"
"Aporhodopirellula","3028534"
"Apostichopus","307971"
"Apple","3750"
"Apricot","36596"
"Aquabacterium","92793"
"Aquamicrobium","69278"
"Aquariibacter","2884326"
"Aquaspirillum","187"
"Aquaticitalea","2034843"
"Aquella","2593687"
"Aquibacillus","1647190"
"Aquibium","2911176"
"Aquicella","254245"
"Aquifex","2713"
"Aquificaceae","64898"
"Aquificales","32069"
"Aquificota","200783"
"Aquihabitans","1648491"
"Aquiluna","529881"
"Aquimarina","290174"
"Aquimonas","265718"
"Aquincola","391952"
"Aquipluma","2792393"
"Aquipseudomonas","3236652"
"Aquirhabdus","2824158"
"Aquirufa","2676247"
"Aquisalinus","1795639"
"Aquisediminimonas","2676781"
"Aquisphaera","1511635"
"Aquitalea","407217"
"Arachidicoccus","1769012"
"Arachnia","2801844"
"Arachnomyces","130040"
"Arachnula","498001"
"Arboricoccus","2066435"
"Arcanobacterium","28263"
"Arcella","318540"
"Archaeoglobus","2233"
"Archaeorhizomyces","1075815"
"Archangiaceae","39"
"Archangium","47"
"Arcicella","217140"
"Arcobacter","28196"
"Arcopilus","1934354"
"Arcticibacter","1288026"
"Arcticibacterium","2173039"
"Arcyodes","1334513"
"Arcyria","137620"
"Ardenticatena","1382931"
"Ardenticatenaceae","1382930"
"Ardenticatenales","1382929"
"Ardenticatenia","1382928"
"Arenavirus","11618"
"Arenibacter","178469"
"Arenibacterium","2824249"
"Arenibaculum","2865859"
"Arenicella","904708"
"Arenicellales","1617890"
"Arenimonas","490567"
"Arenivirga","2033596"
"Argonema","2942761"
"Arhodomonas","2368"
"Aridibacter","1562564"
"Aridibaculum","3042723"
"Arizlama",NA
"Armatimonadaceae","1042314"
"Armatimonadetes","67819"
"Armatimonadia","1042312"
"Armatimonadota","67819"
"Armatimonas","1042315"
"Armillaria","47424"
"Aromatoleum","551759"
"Arsenicibacter","1914260"
"Arsenicicoccus","267408"
"Arsenicitalea","1911566"
"Arsenophonus","637"
"Arthonia","39679"
"Arthrobacter","1663"
"Arthrobotrys","13348"
"Arthrocladium","1758290"
"Arthroderma","63399"
"Arthromyces","5450"
"Arthrospira","35823"
"Arthrospiribacter","2709266"
"Arthrosporium","994793"
"Articulospora","253308"
"Arvimicrobium","3393315"
"Arxiozyma","36906"
"Asaia","91914"
"Asanoa","195964"
"Ascagilis","2803205"
"Aschersonia","100986"
"Ascobolus","5190"
"Ascochyta","5453"
"Ascodesmis","47182"
"Ascoidea",NA
"Ascomycota","4890"
"Ascosphaera","5104"
"Aspergillus","5052"
"Aspiviridae","568247"
"Assulina","178367"
"Astathelohania","2932330"
"Aster","41479"
"Asterionellopsis","33639"
"Asterophora","80618"
"Asticcacaulis","76890"
"Astraeus","150781"
"Astrocystis","190942"
"Astrothelium","698716"
"Astroviridae","39733"
"Atepeofons",NA
"Athalassotoga","1769718"
"Athelia","5309"
"Atlantibacter","1903434"
"Atlantic",NA
"Atlanticothrix","2840441"
"Atopobiaceae","1643824"
"Atopobium","1380"
"Atopostipes","292480"
"Atoxoplasma","241603"
"Atractiella","5228"
"Atribacteraceae","2847776"
"Atribacterota","67818"
"Aulacomnium","67246"
"Aulographum","1176129"
"Aulosira","212347"
"Aurantiacibacter","2800681"
"Aurantibacillus","3088889"
"Aurantimicrobium","1705353"
"Aurantimonas","182269"
"Auraticoccus","1278221"
"Aureibacter","1097443"
"Aureibaculum","2706948"
"Aureimonas","414371"
"Aureispira","365032"
"Aureivirga","1433990"
"Aureliella","2795605"
"Aureobasidium","5579"
"Aureoboletus","285022"
"Auricularia","5230"
"Auriculariales","5226"
"Aurigamonas","350843"
"Auriporia","103853"
"Auriscalpium","40418"
"Auritidibacter","1160973"
"Australozyma","3300567"
"Austroboletus","80624"
"Austropuccinia","2234120"
"Austwickia","1184606"
"Avibacterium","292486"
"Azoarcus","12960"
"Azohydromonas","312063"
"Azonexaceae","2008795"
"Azonexus","146936"
"Azorhizobium","6"
"Azospira","146937"
"Azospirillaceae","2829815"
"Azospirillum","191"
"Azotobacter","352"
"Azovibrio","146935"
"BD1-7",NA
"Baaleninema","2862346"
"Babesia","5864"
"Babjeviella","766748"
"Bacillaceae","186817"
"Bacillales","1385"
"Bacilli","91061"
"Bacillota","1239"
"Bacillus",NA
"Backusella","64649"
"Bacterioplanes","1537406"
"Bacteriovoracaceae","263369"
"Bacteriovorax","146784"
"Bacteroidaceae","815"
"Bacteroidales","171549"
"Bacteroides","816"
"Bacteroidota","976"
"Bacteroidia","200643"
"Badhamia","227448"
"Baekduia","2600304"
"Baeomyces","83474"
"Bagliettoa","468065"
"Bailinhaonella","2806742"
"Balamuthia","66526"
"Balansia","40610"
"Balneatrix","75683"
"Balneola","455358"
"Balneolaceae","1813606"
"Balneolales","1853223"
"Balneolia","1853221"
"Bamboo","147376"
"Bandra",NA
"Banduia","3160923"
"Bannoa","111309"
"Barnaviridae","39741"
"Barnesiella","397864"
"Barnettozyma","599802"
"Barns",NA
"Barrevirus",NA
"Barrientosiimonas","1535207"
"Bartheletia","669516"
"Bartonella","773"
"Basfia","697331"
"Basidioascus","1230397"
"Basidiobolus","4859"
"Basidiophora","162127"
"Bat",NA
"Bathelium","364651"
"Bathycoccus","41874"
"Bathymodiolus","12965"
"Batrachochytrium","100474"
"Bauldia","1145345"
"Bdellovibrio","958"
"Bdellovibrionales","213481"
"Bdellovibrionota","3018035"
"Beauveria","5581"
"Beet","161934"
"Beggiatoa","1021"
"Beijerinckia","532"
"Beijerinckiaceae","45404"
"Beijing",NA
"Bell",NA
"Bellerochea","210443"
"Belliella","232244"
"Bellilinea","475960"
"Belnapia","365532"
"Bemisia-associated",NA
"Benjaminiella","64628"
"Benniella","2779858"
"Bensingtonia","4988"
"Benua","369777"
"Benyviridae","1513233"
"Bergeyella","59735"
"Bermanella","599651"
"Bernardetia","1937972"
"Besnoitia","94642"
"Beta",NA
"Betachrysovirus","2560100"
"Betaproteobacteria","28216"
"Beticola",NA
"Beutenbergia","84756"
"Beutenbergiaceae","125316"
"Bhargavaea","941338"
"Bibersteinia","476528"
"Bifidobacteriaceae","31953"
"Bifidobacteriales","85004"
"Bifidobacterium","1678"
"Bifiguratus","2026842"
"Biformimicrobium","3367293"
"Bigelowiella","227085"
"Billgrantia","3137761"
"Bilophila","35832"
"Bimuria","147496"
"Biomaibacter","2770094"
"Bipolaris","33194"
"Bisbaumannia","3137762"
"Biscogniauxia","97376"
"Bisporella","155149"
"Bittarella",NA
"Bizionia","283785"
"Bjerkandera","5330"
"Blackberry",NA
"Blackfly",NA
"Blakeslea","4849"
"Blastobotrys","43971"
"Blastocatellales","1748771"
"Blastocatellia","1562566"
"Blastochloris","59282"
"Blastocladiella","4807"
"Blastococcus","38501"
"Blastomonas","150203"
"Blastomyces","229219"
"Blastopirellula","265487"
"Blastosporella","530098"
"Blattabacteriaceae","39782"
"Blattabacterium","34098"
"Blattamonas","2304349"
"Blautia","572511"
"Blepharisma","5959"
"Blueberry",NA
"Blumeria","34372"
"Blyttiomyces","388809"
"Bodo","5712"
"Bodomorpha","188949"
"Bodonidae","5708"
"Boeremia","749461"
"Bogoriella","56054"
"Bolbitius","34438"
"Bolbocoleon","220630"
"Boletus","5369"
"Bombardia","252183"
"Bombiscardovia","1159909"
"Bondarzewia","40421"
"Boothiomyces","451452"
"Bordetella","517"
"Borealophlyctis","1396506"
"Borrelia","138"
"Borreliella","64895"
"Bosea","85413"
"Boseaceae","2831100"
"Boseongicola","1648497"
"Botoulivirus","2560105"
"Botourmiaviridae","2560063"
"Botrimarina","2795782"
"Botryobacter","2710873"
"Botryobasidium","68793"
"Botryohypochnus","285716"
"Botryosphaeria","45132"
"Botryotinia","40558"
"Botrytis","33196"
"Boudabousia","2767318"
"Bourdotia","1403657"
"Bowdeniella","2767322"
"Bowmanella","366580"
"Brachiomonas","284741"
"Brachybacterium","43668"
"Brachymonas","28219"
"Brachyspira","29521"
"Bradyrhizobiaceae","41294"
"Bradyrhizobium","374"
"Branchiibius","908251"
"Brasilonema","383614"
"Bremerella","2714594"
"Bremia","4778"
"Brenneria","71655"
"Breoghania","1406135"
"Brettanomyces","13366"
"Brevefilum",NA
"Brevibacillus","55080"
"Brevibacterium","1696"
"Brevicoryne","69195"
"Brevifollis","1383070"
"Brevilegnia","112093"
"Brevirhabdus","1855413"
"Brevistachys","1859640"
"Brevundimonas","41275"
"Breznakibacter","2762384"
"Brinjal","4111"
"Brochothrix","2755"
"Brooklawnia","369926"
"Brotocaccenecus","3064194"
"Brown",NA
"Brucella","234"
"Brucellaceae","118882"
"Brumimicrobium","200473"
"Bryobacter","911113"
"Bryobacteraceae","1962910"
"Bryobacterales","332160"
"Bryocella","1078860"
"Bryoscyphus","1206330"
"Buchananella","2767323"
"Buchnera","32199"
"Buckleyzyma","1798813"
"Budvicia","82978"
"Buellia","111584"
"Bug",NA
"Bulimina","212505"
"Bullera","4970"
"Bunyavirales","3151837"
"Burkholderia","32008"
"Burkholderiaceae","119060"
"Burkholderiales","80840"
"Buttiauxella","82976"
"Butyriboletus","1524449"
"Butyricicoccus","580596"
"Butyricimonas","574697"
"Butyrivibrio","830"
"Byssonectria","269385"
"Byssothecium","147557"
"Byssovorax","224459"
"Bythopirellula","1400386"
"Caballeronia","1827195"
"Cactus",NA
"Cadophora","210567"
"Caedimonadaceae","2100208"
"Caedimonas","2100210"
"Caenibacillus","1940395"
"Caenibius","2827482"
"Caenimonas","763439"
"Caenispirillum","414051"
"Caeruleum","2939409"
"Calcarina","203398"
"Calcarisporiella","937848"
"Caldalkalibacillus","379065"
"Caldanaerobacter","249529"
"Caldanaerobius","862261"
"Calderihabitans","1326739"
"Caldibacillus","1276290"
"Caldicellulosiruptor","44000"
"Caldilinea","233191"
"Caldilineaceae","475964"
"Caldilineae","475962"
"Caldilineales","475963"
"Caldimonas","196013"
"Caldinitratiruptor","1006480"
"Caldisalinibacter","1640153"
"Caldisericia","693071"
"Caldisericota","67814"
"Caldisericum","693074"
"Calditerricola","373053"
"Calditerrivibrio","545865"
"Caldithrix","187144"
"Calditrichia","1962850"
"Calditrichota","1930617"
"Caldora","1702237"
"Caldovatus","2041181"
"Caledonia",NA
"Calidifontibacter","1158982"
"Calidithermus","2747271"
"Callamezzo",NA
"Calocera","29888"
"Calocybe","56468"
"Calogaya","1301221"
"Calomyxa","1334517"
"Calonectria","57138"
"Caloplaca","111586"
"Caloramator","44258"
"Calorimonas","2707768"
"Caloscypha","47186"
"Calothrix","1186"
"Calycina","186310"
"Camelimonas","1017183"
"Camptotheca","16921"
"Campylobacter","194"
"Campylobacteraceae","72294"
"Campylobacterales","213849"
"Campylobacterota","29547"
"Canariomyces","129311"
"Candelaria","104249"
"Candelina","460852"
"Candida","5475"
"Candidatus",NA
"Candidimonas","1074468"
"Candidozyma","3303203"
"Candolleomyces","2791032"
"Canibacter","1648503"
"Canicola","2860205"
"Cannes",NA
"Cantharellus","36065"
"Capillidium","2878381"
"Capillimicrobium","2976759"
"Capnocytophaga","1016"
"Caproicibacter","2576755"
"Caproiciproducens","1738645"
"Capronia","43220"
"Capsellina","862252"
"Capsicum","4071"
"Capsulimonadaceae","2494208"
"Capsulimonadales","2494207"
"Capsulimonas","2494209"
"Carbonactinospora","2864378"
"Carboxydocella","178898"
"Carboxydothermus","129957"
"Carboxylicivirga","1628153"
"Carchesium","168243"
"Carcinomyces","1905118"
"Cardinium","273135"
"Cardiobacterium","2717"
"Cardiosporidium","476201"
"Carideicomes","2699245"
"Carnobacteriaceae","186828"
"Carnobacterium","2747"
"Carpediemonas","201152"
"Casa",NA
"Casimicrobiaceae","2705999"
"Casimicrobium","2706000"
"Castellaniella","359336"
"Cat","9685"
"Catalimonadaceae","1522127"
"Catalinimonas","1522128"
"Catellatospora","53365"
"Catelliglobosispora","1121253"
"Catenaria","109875"
"Catenibacillus","2316203"
"Catenibacterium","135858"
"Catenophlyctis","281836"
"Catenulispora","414878"
"Catenulisporales","414714"
"Catenuloplanes","33874"
"Catonella","43996"
"Catovirus","1977635"
"Caudovirales","2731619"
"Caudoviricetes","2731619"
"Caulifigura","2795778"
"Cauliflower","3715"
"Caulobacter","75"
"Caulobacteraceae","76892"
"Caulobacterales","204458"
"Caulochytrium","1555240"
"Cavenderia","2058187"
"Caviibacterium","2070443"
"Cavostelium","435409"
"Cecembia","1187078"
"Cedecea","158483"
"Celeribacter","875170"
"Celerinatantimonas","412033"
"Celery","117781"
"Cellulomonadaceae","85016"
"Cellulomonas","1707"
"Cellulophaga","104264"
"Cellulosimicrobium","157920"
"Cellvibrio","10"
"Cellvibrionaceae","1706371"
"Cellvibrionales","1706369"
"Cenarchaeum","46769"
"Cenococcum","5569"
"Centipeda",NA
"Cephaloticoccus","1849551"
"Cephalotrichum","1658452"
"Ceraceosorus","401624"
"Cerasicoccus","468938"
"Ceratiomyxa","435414"
"Ceratobasidium","5251"
"Ceratocystiopsis","5153"
"Ceratocystis","5157"
"Cercomonas","45109"
"Cercophora","42303"
"Cercospora","29002"
"Cercozoa","136419"
"Cereibacter","1653176"
"Cerioporus","2268961"
"Cerrena","90311"
"Cesiribacter","1133570"
"Cetobacterium","180162"
"Cetraria","78063"
"Cetraspora","940661"
"Chaenea","5991"
"Chaenotheca","164570"
"Chaetoceros","49237"
"Chaetomidium","223383"
"Chaetomium","5149"
"Chaetopsina","755315"
"Chaetosphaeronema","565398"
"Chaetothyriales","34395"
"Chakrabartia","2676858"
"Chalciporus","80622"
"Chamaesiphon","217161"
"Chamonixia","80632"
"Chania","1745211"
"Chaos","160821"
"Chelativorans","449972"
"Chelatococcus","28209"
"Chemarfal",NA
"Chengkuizengella","2026172"
"Chiayiivirga","1648505"
"Chilodonella","151076"
"Chionosphaera","54741"
"Chishuiella","1572663"
"Chitinasiproducens","2870408"
"Chitinilyticum","551208"
"Chitinimonas","240411"
"Chitiniphilus","585890"
"Chitinispirillaceae","1860138"
"Chitinispirillia","1860136"
"Chitinispirillum","1860139"
"Chitinivibrionales","1505233"
"Chitinivorax","1433992"
"Chitinolyticbacter","1055692"
"Chitinophaga","79328"
"Chitinophagaceae","563835"
"Chitinophagales","1853229"
"Chitinophagia","1853228"
"Chlamydia","810"
"Chlamydiales","51291"
"Chlamydiia","204429"
"Chlamydiota","204428"
"Chlamydoabsidia","90266"
"Chlamydomyzium","485443"
"Chloracidobacterium","458032"
"Chlorarachnion","29198"
"Chloridium","139961"
"Chlorobaculum","256319"
"Chlorobi","1090"
"Chlorobiaceae","191412"
"Chlorobiales","191411"
"Chlorobiota","1090"
"Chlorobium","1091"
"Chlorociboria","54692"
"Chloroflexaceae","1106"
"Chloroflexales","32064"
"Chloroflexota","200795"
"Chloroflexotaa",NA
"Chloroflexus","1107"
"Chlorogloea","688241"
"Chlorogloeopsis","1123"
"Chloroherpeton","100715"
"Chloroherpetonaceae","2968741"
"Choanephora","64498"
"Choiromyces","44639"
"Chondrocystis","268175"
"Chondromyces","50"
"Christensenella","990721"
"Christensenellaceae","990719"
"Christiangramia","292691"
"Christmas",NA
"Chromatiaceae","1046"
"Chromatiales","135613"
"Chromatium","1047"
"Chromatocurvus","1132027"
"Chromobacteriaceae","1499392"
"Chromobacterium","535"
"Chromohalobacter","42054"
"Chroococcidiopsidaceae","1890528"
"Chroococcidiopsidales","1890505"
"Chroococcidiopsis","54298"
"Chroococcopsis","945730"
"Chroococcus","70190"
"Chryseobacterium","59732"
"Chryseolinea","1433993"
"Chryseosolibacter","2963348"
"Chryseotalea","2682476"
"Chrysiogenia","118001"
"Chrysochromulina","35140"
"Chrysomphalina","50964"
"Chrysomyxa","60201"
"Chrysosporium","40411"
"Chrysotila","424538"
"Chthoniobacter","295577"
"Chthoniobacteraceae","1836792"
"Chthoniobacterales","1836787"
"Chthonomonadaceae","1077264"
"Chthonomonadales","1077263"
"Chthonomonadia","1077257"
"Chthonomonas","1077265"
"Chytridiales","4810"
"Chytridium","4813"
"Chytriomyces","109882"
"Ciceribacter","1648508"
"Cimodo",NA
"Cintractia","63253"
"Circinella","101102"
"Cirrosporium","1130052"
"Citreicella","282682"
"Citricoccus","169133"
"Citrifermentans","2883512"
"Citrobacter","544"
"Citromicrobium","72173"
"Cladochytrium","109935"
"Cladonia","5199"
"Cladophialophora","82105"
"Cladorrhinum","223374"
"Cladosporium","5498"
"Clarireedia","2211661"
"Clathrospora","45299"
"Clathrulina","238762"
"Clathrus","112985"
"Claussenomyces","933343"
"Clavaria","104242"
"Clavariopsis","253305"
"Claveliimonas","3076670"
