"Family","Genus","Species","mean_rel_abundance_Metabarcoding","mean_rel_abundance_RNA_taxonomy","prevalence_Metabarcoding","prevalence_RNA_taxonomy","diff"
"Glomeraceae","Glomus","VTX00212",8.4888922844458e-06,0.00119066165231971,0.037037037037037,1,-0.00118217276003527
"Glomeraceae","Glomus","VTX00247",0.000110355599697795,0.00127964594178186,0.296296296296296,1,-0.00116929034208406
"Glomeraceae","Glomus","VTX00301",0,0.00115849909484273,0,1,-0.00115849909484273
"Claroideoglomeraceae","Claroideoglomus","VTX00225",0,0.00111806288880509,0,1,-0.00111806288880509
"Glomeraceae","Glomus","VTX00135",8.4888922844458e-06,0.00108514083099957,0.037037037037037,1,-0.00107665193871513
"Glomeraceae","Glomus","VTX00367",0,0.00105830116236423,0,1,-0.00105830116236423
"Glomeraceae","Glomus","VTX00142",0,0.00105242305123037,0,1,-0.00105242305123037
"Glomeraceae","Glomus","VTX00396",0,0.00104598199273548,0,1,-0.00104598199273548
"Glomeraceae","Glomus","VTX00248",0,0.0010450512248622,0,1,-0.0010450512248622
"Unassigned","Unassigned","Unassigned",0.000993200397280159,0,0.518518518518518,0,0.000993200397280159
"Glomeraceae","Glomus","VTX00185",0,0.000970429167880849,0,1,-0.000970429167880849
"Glomeraceae","Glomus","VTX00108",5.94222459911206e-05,0.0010290459740504,0.037037037037037,1,-0.000969623728059281
"Glomeraceae","Glomus","VTX00105",0,0.00096529313974542,0,1,-0.00096529313974542
"Glomeraceae","Glomus","VTX00197",0.00176568959516473,0.00261230240008113,0.37037037037037,1,-0.000846612804916404
"Glomeraceae","Glomus","VTX00117",0,0.000815741626761072,0,1,-0.000815741626761072
"Claroideoglomeraceae","Claroideoglomus","VTX00056",0.00078946698245346,0,0.0740740740740741,0,0.00078946698245346
"Glomeraceae","Glomus","VTX00372",0.000110355599697795,0.000898131299498589,0.185185185185185,1,-0.000787775699800794
"Diversisporaceae","Diversispora","VTX00401",0.000780978090169014,0,0.851851851851852,0,0.000780978090169014
"Glomeraceae","Glomus","VTX00154",0,0.000755777409498577,0,1,-0.000755777409498577
"Paraglomeraceae","Paraglomus","VTX00238",0.000730044736462339,0,0.666666666666667,0,0.000730044736462339
"Glomeraceae","Glomus","VTX00397",0.000704578059609002,0,0.518518518518518,0,0.000704578059609002
"Glomeraceae","Glomus","VTX00132",0.00068760027504011,0,0.666666666666667,0,0.00068760027504011
"Gigasporaceae","Scutellospora","VTX00052",0.000594222459911206,0,0.518518518518518,0,0.000594222459911206
"Paraglomeraceae","Paraglomus","VTX00335",0.000543289106204531,0,0.518518518518518,0,0.000543289106204531
"Glomeraceae","Glomus","VTX00222",0.000475377967928965,0,0.518518518518518,0,0.000475377967928965
"Glomeraceae","Glomus","VTX00104",0.000415955721937844,0,0.296296296296296,0,0.000415955721937844
"Glomeraceae","Glomus","VTX00174",0.000288622337671157,0,0.37037037037037,0,0.000288622337671157
"Glomeraceae","Glomus","VTX00322",0.000271644553102266,0,0.518518518518518,0,0.000271644553102266
"Glomeraceae","Glomus","VTX00411",0.00026315566081782,0,0.259259259259259,0,0.00026315566081782
"Glomeraceae","Glomus","VTX00209",0.000246177876248928,0,0.592592592592593,0,0.000246177876248928
"Gigasporaceae","Scutellospora","VTX00255",0.000246177876248928,0,0.555555555555556,0,0.000246177876248928
"Glomeraceae","Glomus","VTX00287",0.000246177876248928,0,0.333333333333333,0,0.000246177876248928
"Glomeraceae","Glomus","VTX00167",0.00103564485870239,0.00127513323616638,0.444444444444444,1,-0.000239488377463996
"Glomeraceae","Glomus","VTX00407",0.000237688983964482,0,0.259259259259259,0,0.000237688983964482
"Glomeraceae","Glomus","VTX00235",0.000212222307111145,0,0.518518518518518,0,0.000212222307111145
"Paraglomeraceae","Paraglomus","VTX00375",0.000195244522542253,0,0.259259259259259,0,0.000195244522542253
"Claroideoglomeraceae","Claroideoglomus","VTX00402",0.000178266737973362,0,0.259259259259259,0,0.000178266737973362
"Glomeraceae","Glomus","VTX00384",0.000144311168835579,0,0.407407407407407,0,0.000144311168835579
"Glomeraceae","Glomus","VTX00206",0.000118844491982241,0,0.296296296296296,0,0.000118844491982241
"Glomeraceae","Glomus","VTX00364",0.000118844491982241,0,0.185185185185185,0,0.000118844491982241
"Glomeraceae","Glomus","VTX00099",0.00010186670741335,0,0.185185185185185,0,0.00010186670741335
"Glomeraceae","Glomus","VTX00183",8.4888922844458e-05,0,0.037037037037037,0,8.4888922844458e-05
"Glomeraceae","Glomus","VTX00294",8.4888922844458e-05,0,0.222222222222222,0,8.4888922844458e-05
"Glomeraceae","Glomus","VTX00359",8.4888922844458e-05,0,0.111111111111111,0,8.4888922844458e-05
"Glomeraceae","Glomus","VTX00121",7.64000305600122e-05,0,0.148148148148148,0,7.64000305600122e-05
"Glomeraceae","Glomus","VTX00412",7.64000305600122e-05,0,0.222222222222222,0,7.64000305600122e-05
"Acaulosporaceae","Acaulospora","VTX00231",5.09333537066748e-05,0,0.111111111111111,0,5.09333537066748e-05
"Glomeraceae","Glomus","VTX00381",4.2444461422229e-05,0,0.111111111111111,0,4.2444461422229e-05
"Glomeraceae","Glomus","VTX00085",3.39555691377832e-05,0,0.0740740740740741,0,3.39555691377832e-05
"Glomeraceae","Glomus","VTX00310",2.54666768533374e-05,0,0.111111111111111,0,2.54666768533374e-05
"Paraglomeraceae","Paraglomus","VTX00435",2.54666768533374e-05,0,0.0740740740740741,0,2.54666768533374e-05
"Glomeraceae","Glomus","VTX00178",2.54666768533374e-05,0,0.0740740740740741,0,2.54666768533374e-05
"Glomeraceae","Glomus","VTX00360",2.54666768533374e-05,0,0.0740740740740741,0,2.54666768533374e-05
"Glomeraceae","Glomus","VTX00419",2.54666768533374e-05,0,0.111111111111111,0,2.54666768533374e-05
"Claroideoglomeraceae","Claroideoglomus","VTX00237",1.69777845688916e-05,0,0.0740740740740741,0,1.69777845688916e-05
"Glomeraceae","Glomus","VTX00122",1.69777845688916e-05,0,0.037037037037037,0,1.69777845688916e-05
"Glomeraceae","Glomus","VTX00149",1.69777845688916e-05,0,0.037037037037037,0,1.69777845688916e-05
"Glomeraceae","Glomus","VTX00191",8.4888922844458e-06,0,0.037037037037037,0,8.4888922844458e-06
"Glomeraceae","Glomus","VTX00371",8.4888922844458e-06,0,0.037037037037037,0,8.4888922844458e-06
"Acaulosporaceae","Acaulospora","VTX00328",0,0,0,0,0
"Acaulosporaceae","Acaulospora","VTX00379",0,0,0,0,0
"Claroideoglomeraceae","Claroideoglomus","VTX00057",0,0,0,0,0
"Claroideoglomeraceae","Claroideoglomus","VTX00341",0,0,0,0,0
"Claroideoglomeraceae","Claroideoglomus","VTX00358",0,0,0,0,0
"Gigasporaceae","Scutellospora","VTX00260",0,0,0,0,0
"Glomeraceae","Glomus","VTX00101",0,0,0,0,0
"Glomeraceae","Glomus","VTX00111",0,0,0,0,0
"Glomeraceae","Glomus","VTX00112",0,0,0,0,0
"Glomeraceae","Glomus","VTX00124",0,0,0,0,0
"Glomeraceae","Glomus","VTX00146",0,0,0,0,0
"Glomeraceae","Glomus","VTX00175",0,0,0,0,0
"Glomeraceae","Glomus","VTX00216",0,0,0,0,0
"Glomeraceae","Glomus","VTX00319",0,0,0,0,0
"Glomeraceae","Glomus","VTX00361",0,0,0,0,0
"Glomeraceae","Glomus","VTX00383",0,0,0,0,0
"Glomeraceae","Glomus","VTX00388",0,0,0,0,0
"Glomeraceae","Glomus","VTX00398",0,0,0,0,0
"Glomeraceae","Glomus","VTX00399",0,0,0,0,0
"Glomeraceae","Glomus","VTX00415",0,0,0,0,0
"Glomeraceae","Glomus","VTX00420",0,0,0,0,0
"Glomeraceae","Glomus","VTX00437",0,0,0,0,0
"Paraglomeraceae","Paraglomus","VTX00337",0,0,0,0,0
